token_symbol,chain,contract_address,pair_address,price_usd,fdv_usd,lp_usd,volume_24h_usd,unique_traders_24h,buys_24h,sells_24h,dex,trade_url,explorer_url,twitter_url,telegram_url,website_url,age_hours,reject_reason
BASE,base,0xd07379a755A8f11B57610154861D694b2A0f615a,0x5554419CCd0293d9383901F461C7C3E0c66E925F,3.523e-06,3868897.0,113216.24,10986.59,200,103,97,Base DEX,https://dexscreener.com/base/0x5554419ccd0293d9383901f461c7c3e0c66e925f,https://basescan.org/token/0xd07379a755A8f11B57610154861D694b2A0f615a,https://twitter.com/swap_based,https://t.me/SwapBased,https://swapbased.finance/,18794.53,age>720h
BASE,base,0xd07379a755A8f11B57610154861D694b2A0f615a,0xCbFe08767247Fd75234e640D047Bdd34364fef48,3.567e-06,3917423.0,111283.55,4638.61,35,12,23,Base DEX,https://dexscreener.com/base/0xcbfe08767247fd75234e640d047bdd34364fef48,https://basescan.org/token/0xd07379a755A8f11B57610154861D694b2A0f615a,https://twitter.com/swap_based,https://t.me/SwapBased,https://swapbased.finance/,12240.08,age>720h
TBA,polygon,0xAb5cbcd6dE0b57121cA917bbF1f1CA65c3a870cb,0x7fD81FeDeADea66a040354398407b44C451010c6,2.579e-05,257957.0,232161.74,7.59,6,6,0,DEX,https://dexscreener.com/polygon/0x7fd81fedeadea66a040354398407b44c451010c6,https://polygonscan.com/token/0xAb5cbcd6dE0b57121cA917bbF1f1CA65c3a870cb,,,,22.6,vliq<0.12
BASE,base,0xd07379a755A8f11B57610154861D694b2A0f615a,0x8EB9437532faC8d6A7870f3F887B7978d20355Fc,3.543e-06,3891143.0,74689.05,1805.48,67,41,26,Base DEX,https://dexscreener.com/base/0x8eb9437532fac8d6a7870f3f887b7978d20355fc,https://basescan.org/token/0xd07379a755A8f11B57610154861D694b2A0f615a,https://twitter.com/swap_based,https://t.me/SwapBased,https://swapbased.finance/,18529.6,age>720h
BASE,base,0xF1B4ddF712E108cf43711B1C39f2fDDb0d5Ce243,0x60DC51aB5Ad447f72D4C86ffFcCCB89038391471,1.524e-06,105162.0,60078.63,42.58,7,4,3,Base DEX,https://dexscreener.com/base/0x60dc51ab5ad447f72d4c86fffcccb89038391471,https://basescan.org/token/0xF1B4ddF712E108cf43711B1C39f2fDDb0d5Ce243,https://x.com/BACU2012N,https://t.me/BACU2012N,https://www.baseonbase.io/,13094.6,age>720h
BASE,base,0x139Bb3D21C22dBCc169eb1C98398E4Fb9Ea94b07,0x11a8cece3bccc80477d03cbf32caee1a2144a58734f8e6511abfcea54219a500,9.305e-07,93057.0,93043.14,596.28,6,2,4,Base DEX,https://dexscreener.com/base/0x11a8cece3bccc80477d03cbf32caee1a2144a58734f8e6511abfcea54219a500,https://basescan.org/token/0x139Bb3D21C22dBCc169eb1C98398E4Fb9Ea94b07,,,,81.5,vliq<0.12
BASE,base,0x30290160742a153af6C32Eee850D8e156B1995AF,0x1a1a27ff50cdba57b4102b3077ecf1a820a08c5ee40a98c7b7b11e91663e7752,8.925e-05,89259.0,66944.47,0.01,2,0,2,Base DEX,https://dexscreener.com/base/0x1a1a27ff50cdba57b4102b3077ecf1a820a08c5ee40a98c7b7b11e91663e7752,https://basescan.org/token/0x30290160742a153af6C32Eee850D8e156B1995AF,,,,185.96,traders24h<6
BASE,base,0xd07379a755A8f11B57610154861D694b2A0f615a,0x5d3cC6E10C67E35F9FC06a74E1C5dB00feF6c831,3.548e-06,3895892.0,6330.14,55.25,14,5,9,Base DEX,https://dexscreener.com/base/0x5d3cc6e10c67e35f9fc06a74e1c5db00fef6c831,https://basescan.org/token/0xd07379a755A8f11B57610154861D694b2A0f615a,https://twitter.com/swap_based,https://t.me/SwapBased,https://swapbased.finance/,,vliq<0.12
BASE,pulsechain,0xe9f84d418B008888A992Ff8c6D22389C2C3504e0,0xb39490b46D02146F59e80c6061BB3e56b824d672,0.01057,572968.0,8224.57,106.49,11,5,6,DEX,https://dexscreener.com/pulsechain/0xb39490b46d02146f59e80c6061bb3e56b824d672,,,,,20226.6,age>720h
BASE,pulsechain,0xe9f84d418B008888A992Ff8c6D22389C2C3504e0,0xe181F3D1cF81c94d770768D48D42d07A9e9819c7,0.01064,576773.0,1743.84,91.75,7,0,7,DEX,https://dexscreener.com/pulsechain/0xe181f3d1cf81c94d770768d48d42d07a9e9819c7,,,,,20698.78,age>720h
BASE,solana,2hGZMqr1yCWiD7qLJyvZABbmdSfmnT4w7G2S4aWhktuf,2GntcnVnjAUK4sGLBcb5gJXDTpDMfAoXD6htSJmRPYza,2.773e-05,27668.0,22467.93,4.34,2,1,1,Raydium (Solana),https://dexscreener.com/solana/2gntcnvnjauk4sglbcb5gjxdtpdmfaoxd6htsjmrpyza,https://solscan.io/token/2hGZMqr1yCWiD7qLJyvZABbmdSfmnT4w7G2S4aWhktuf,https://x.com/baseonsol,https://t.me/baseonsol,,14249.32,age>720h
BASE,bsc,0xC6b111e04aF9334857E807fe99952251C7D11FB4,0x4fDfCf07e4e1FFC34AA12D8468768bbe6c969782,12.86,12866508468.0,2269.12,4.37,4,4,0,DEX,https://dexscreener.com/bsc/0x4fdfcf07e4e1ffc34aa12d8468768bbe6c969782,https://bscscan.com/token/0xC6b111e04aF9334857E807fe99952251C7D11FB4,,,,746.27,age>720h
BASE,pulsechain,0xda073388422065Fe8D3B5921Ec2AE475Bae57BED,0xD5183afbb722C559F7FEAcd5E5d9dB8E8594330E,0.002925,18288.0,1249.55,1.16,2,2,0,DEX,https://dexscreener.com/pulsechain/0xd5183afbb722c559f7feacd5e5d9db8e8594330e,,,,,13260.24,age>720h
BASE,base,0x6Da2705523dD976d1431D225c8F17846651CeB07,0x4c91fCB99A3Ee676991daEDaef7138C894D31c21,1.118e-07,11183.0,9682.42,99.03,4,1,3,Base DEX,https://dexscreener.com/base/0x4c91fcb99a3ee676991daedaef7138c894d31c21,https://basescan.org/token/0x6Da2705523dD976d1431D225c8F17846651CeB07,https://x.com/BaseCoin_CT0,,,1581.17,age>720h
BASE,ethereum,0x07150e919B4De5fD6a63DE1F9384828396f25fDC,0xdE5b7Ff5b10CC5F8c95A2e2B643e3aBf5179C987,0.4941,347139.0,17891.77,26.48,6,4,2,Ethereum DEX,https://dexscreener.com/ethereum/0xde5b7ff5b10cc5f8c95a2e2b643e3abf5179c987,https://etherscan.io/token/0x07150e919B4De5fD6a63DE1F9384828396f25fDC,,,,42135.23,age>720h
BASE,base,0xd07379a755A8f11B57610154861D694b2A0f615a,0xc0A607b43EaEf2C87f28E7ebd61CD95c5F1Be0D5,3.581e-06,3933072.0,299.1,23.91,47,23,24,Base DEX,https://dexscreener.com/base/0xc0a607b43eaef2c87f28e7ebd61cd95c5f1be0d5,https://basescan.org/token/0xd07379a755A8f11B57610154861D694b2A0f615a,https://twitter.com/swap_based,https://t.me/SwapBased,https://swapbased.finance/,13202.67,age>720h
BASE,base,0xd07379a755A8f11B57610154861D694b2A0f615a,0x58268092f6dc12115eaeaabf2d5d67a9fb07e2bc80dd05a06fe783fbe7151f38,3.535e-06,3882520.0,600.61,23.95,19,5,14,Base DEX,https://dexscreener.com/base/0x58268092f6dc12115eaeaabf2d5d67a9fb07e2bc80dd05a06fe783fbe7151f38,https://basescan.org/token/0xd07379a755A8f11B57610154861D694b2A0f615a,https://twitter.com/swap_based,https://t.me/SwapBased,https://swapbased.finance/,3218.71,age>720h
BASE,base,0xd07379a755A8f11B57610154861D694b2A0f615a,0xF7E38d1312682C8A7e1f33fFbd97114C0c6e7a76,3.575e-06,3926445.0,38.48,0.59,5,2,3,Base DEX,https://dexscreener.com/base/0xf7e38d1312682c8a7e1f33ffbd97114c0c6e7a76,https://basescan.org/token/0xd07379a755A8f11B57610154861D694b2A0f615a,https://twitter.com/swap_based,https://t.me/SwapBased,https://swapbased.finance/,12986.17,age>720h
BASE,base,0xd07379a755A8f11B57610154861D694b2A0f615a,0x20ee4e1fee667547c24a1d8f78d90a37193c926eda1c317efaa534d4c1ce2e44,3.533e-06,3879861.0,267.79,17.76,22,11,11,Base DEX,https://dexscreener.com/base/0x20ee4e1fee667547c24a1d8f78d90a37193c926eda1c317efaa534d4c1ce2e44,https://basescan.org/token/0xd07379a755A8f11B57610154861D694b2A0f615a,https://twitter.com/swap_based,https://t.me/SwapBased,https://swapbased.finance/,3996.07,age>720h
BASE,base,0xd07379a755A8f11B57610154861D694b2A0f615a,0xE496bA1E879D753D8d7751f683e1Fc3923a1C9aA,3.547e-06,3895363.0,163.15,4.44,11,5,6,Base DEX,https://dexscreener.com/base/0xe496ba1e879d753d8d7751f683e1fc3923a1c9aa,https://basescan.org/token/0xd07379a755A8f11B57610154861D694b2A0f615a,https://twitter.com/swap_based,https://t.me/SwapBased,https://swapbased.finance/,17191.94,age>720h
BASE,base,0xd07379a755A8f11B57610154861D694b2A0f615a,0xcDF0d9983Eb10132d3dA152aD62cB20118f9F74e,3.516e-06,3860920.0,115.65,3.25,7,2,5,Base DEX,https://dexscreener.com/base/0xcdf0d9983eb10132d3da152ad62cb20118f9f74e,https://basescan.org/token/0xd07379a755A8f11B57610154861D694b2A0f615a,https://twitter.com/swap_based,https://t.me/SwapBased,https://swapbased.finance/,2911.22,age>720h
BASE,base,0xd07379a755A8f11B57610154861D694b2A0f615a,0x7D048e9f67caA60726C4212b807a14ca35a54aD2,3.637e-06,3994104.0,70.72,2.47,6,3,3,Base DEX,https://dexscreener.com/base/0x7d048e9f67caa60726c4212b807a14ca35a54ad2,https://basescan.org/token/0xd07379a755A8f11B57610154861D694b2A0f615a,https://twitter.com/swap_based,https://t.me/SwapBased,https://swapbased.finance/,18174.95,age>720h
BASE,base,0xd07379a755A8f11B57610154861D694b2A0f615a,0x153bA6ADa7143E621c6A85FA44F2EAc29a364D4A,3.608e-06,3961983.0,29.16,0.42,4,3,1,Base DEX,https://dexscreener.com/base/0x153ba6ada7143e621c6a85fa44f2eac29a364d4a,https://basescan.org/token/0xd07379a755A8f11B57610154861D694b2A0f615a,https://twitter.com/swap_based,https://t.me/SwapBased,https://swapbased.finance/,18786.23,age>720h
BASE,base,0xd07379a755A8f11B57610154861D694b2A0f615a,0xc0941bc0917b3cc55F87c1C98Aa54BBC61b7ef13,3.553e-06,3902079.0,20.75,0.2,1,0,1,Base DEX,https://dexscreener.com/base/0xc0941bc0917b3cc55f87c1c98aa54bbc61b7ef13,https://basescan.org/token/0xd07379a755A8f11B57610154861D694b2A0f615a,https://twitter.com/swap_based,https://t.me/SwapBased,https://swapbased.finance/,6630.11,age>720h
BASE,base,0xd07379a755A8f11B57610154861D694b2A0f615a,0x69Cc0cB85280b7cD5B19BDe42269CA9CE519090C,3.679e-06,4040031.0,11.48,0.04,1,0,1,BaseSwap (Base),https://dexscreener.com/base/0x69cc0cb85280b7cd5b19bde42269ca9ce519090c,https://basescan.org/token/0xd07379a755A8f11B57610154861D694b2A0f615a,https://twitter.com/swap_based,https://t.me/SwapBased,https://swapbased.finance/,15108.78,age>720h
BASE,base,0xBce4705b674fa0d1dc3C1BA38cA5cFD989EaE656,0x62600184e557595f15ac421252a3c9586217c2c19bac741f09f7367e2023694b,0.1236,123697792.0,12.95,0.0,10,0,10,Base DEX,https://dexscreener.com/base/0x62600184e557595f15ac421252a3c9586217c2c19bac741f09f7367e2023694b,https://basescan.org/token/0xBce4705b674fa0d1dc3C1BA38cA5cFD989EaE656,,,,126.27,"lp$13 outside [4000,1500000]"
BASE,pulsechain,0xe9f84d418B008888A992Ff8c6D22389C2C3504e0,0xb2f460cd0A176e56735A443d0DD268CFF81416E2,0.01074,581763.0,217.84,1.31,3,2,1,DEX,https://dexscreener.com/pulsechain/0xb2f460cd0a176e56735a443d0dd268cff81416e2,,,,,20702.47,age>720h
BASE,pulsechain,0xe9f84d418B008888A992Ff8c6D22389C2C3504e0,0x46fff25a6AAdC0CD0324258634aBE25ba9b1446C,0.01094,593111.0,20.8,0.34,1,0,1,DEX,https://dexscreener.com/pulsechain/0x46fff25a6aadc0cd0324258634abe25ba9b1446c,,,,,17266.8,age>720h
Base,base,0x179a00Fe2Ce0217834Dd43aD14D2A61AF9124372,0x17798ac5fe92246a52d8a1c0975b89a2c87e069e77fd1469b8d6c339acaf4e99,9.959e-06,9959.0,9577.45,7.26,2,2,0,Base DEX,https://dexscreener.com/base/0x17798ac5fe92246a52d8a1c0975b89a2c87e069e77fd1469b8d6c339acaf4e99,https://basescan.org/token/0x179a00Fe2Ce0217834Dd43aD14D2A61AF9124372,,,,937.77,age>720h
BASE,pulsechain,0xda073388422065Fe8D3B5921Ec2AE475Bae57BED,0x2F8CAF4C0Abbf8833B67F693D9f12F15CA4054E8,0.002935,18349.0,88.45,1.18,2,0,2,DEX,https://dexscreener.com/pulsechain/0x2f8caf4c0abbf8833b67f693d9f12f15ca4054e8,,,,,234.95,"lp$88 outside [4000,1500000]"
SOL,bsc,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,0xbFFEc96e8f3b5058B1817c14E4380758Fada01EF,236.91,260590375.0,3843767.64,10153758.02,9035,4399,4636,DEX,https://dexscreener.com/bsc/0xbffec96e8f3b5058b1817c14e4380758fada01ef,https://bscscan.com/token/0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,,,,15615.72,age>720h
SOLANA,solana,fESbUKjuMY6jzDH9VP8cy4p3pu2q5W2rK2XghVfNseP,9ndJDvDYQyBDx7KBH3hvp47oCUafAdUEb8xP1ERehmVx,0.0001071,103102.0,101652.14,615.24,28,21,7,Raydium (Solana),https://dexscreener.com/solana/9ndjdvdyqybdx7kbh3hvp47ocuafadueb8xp1erehmvx,https://solscan.io/token/fESbUKjuMY6jzDH9VP8cy4p3pu2q5W2rK2XghVfNseP,https://x.com/CatFrogDogShark,https://t.me/CatFrogDogShark,https://catfrogdogshark.xyz/,11544.65,age>720h
SOL,osmosis,factory/osmo1n3n75av8awcnw4jl62n3l48e6e4sxqmaf97w5ua6ddu4s475q5qq9udvx4/alloyed/allSOL,3117-factory_osmo1n3n75av8awcnw4jl62n3l48e6e4sxqmaf97w5ua6ddu4s475q5qq9udvx4_alloyed_allSOL-ibc_498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4,237.77,145048075032.0,116347.05,18877.8,82,37,45,DEX,https://dexscreener.com/osmosis/3117-factory_osmo1n3n75av8awcnw4jl62n3l48e6e4sxqmaf97w5ua6ddu4s475q5qq9udvx4_alloyed_allsol-ibc_498a0751c798a0d9a389aa3691123dada57daa4fe165d5c75894505b876ba6e4,,,,,895.95,age>720h
SOL,pulsechain,0x873301F2B4B83FeaFF04121B68eC9231B29Ce0df,0x30fe90B1ad644970C48a6B5886EC39B1e3df97Ee,0.000341,341099.0,50299.71,2164.78,105,25,80,DEX,https://dexscreener.com/pulsechain/0x30fe90b1ad644970c48a6b5886ec39b1e3df97ee,,https://x.com/SolOnPulse,https://t.me/SolanaBackshots,,5550.59,age>720h
SOL,base,0xaf7B5f2A70c52DCB7e22E85bfDE3D548222F4bA4,0xEA9A35c74cdaCe6affab1FccA057b97cf4F9257C,0.0002127,212797.0,57756.92,387.41,13,8,5,Base DEX,https://dexscreener.com/base/0xea9a35c74cdace6affab1fcca057b97cf4f9257c,https://basescan.org/token/0xaf7B5f2A70c52DCB7e22E85bfDE3D548222F4bA4,https://x.com/solana_base,https://t.me/solana_base,https://solanabase.xyz/,11566.86,age>720h
SOL,osmosis,factory/osmo1n3n75av8awcnw4jl62n3l48e6e4sxqmaf97w5ua6ddu4s475q5qq9udvx4/alloyed/allSOL,2054-factory_osmo1n3n75av8awcnw4jl62n3l48e6e4sxqmaf97w5ua6ddu4s475q5qq9udvx4_alloyed_allSOL-factory_osmo1z6r6qdknhgsc0zeracktgpcxf43j6sekq07nw8sxduc9lg0qjjlqfu25e3_alloyed_allBTC,237.3,144764699358.0,85914.76,6925.04,162,76,86,DEX,https://dexscreener.com/osmosis/2054-factory_osmo1n3n75av8awcnw4jl62n3l48e6e4sxqmaf97w5ua6ddu4s475q5qq9udvx4_alloyed_allsol-factory_osmo1z6r6qdknhgsc0zeracktgpcxf43j6sekq07nw8sxduc9lg0qjjlqfu25e3_alloyed_allbtc,,,,,9608.66,age>720h
SOL,avalanche,0x634608ed64c61CA9e741F8095193c0bFa0FA19Cc,0x640963da1d9D07Cb86e89dF670dD29b54e1F1d3e,237.024,2119485.0,1538461.12,592679.11,315,165,150,DEX,https://dexscreener.com/avalanche/0x640963da1d9d07cb86e89df670dd29b54e1f1d3e,https://snowtrace.io/token/0x634608ed64c61CA9e741F8095193c0bFa0FA19Cc,,,,2595.49,age>720h
SOL,avalanche,0x634608ed64c61CA9e741F8095193c0bFa0FA19Cc,0x1e99E3A1eB5FdF26893028c21aD9E5eE868D01D7,238.29,2130861.0,1363325.76,20430.07,64,37,27,DEX,https://dexscreener.com/avalanche/0x1e99e3a1eb5fdf26893028c21ad9e5ee868d01d7,https://snowtrace.io/token/0x634608ed64c61CA9e741F8095193c0bFa0FA19Cc,,,,1100.42,age>720h
SOL,bsc,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,0x9F5a0AD81Fe7fD5dFb84EE7A0CFb83967359BD90,236.95,260627768.0,1241367.45,244673.72,450,183,267,DEX,https://dexscreener.com/bsc/0x9f5a0ad81fe7fd5dfb84ee7a0cfb83967359bd90,https://bscscan.com/token/0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,,,,18103.25,age>720h
